Region,Partei,Stimmtyp,Stand,Prozent,Differenz Prozent Vorwahl,Prozent Vorwahl,Ungültige Stimmen,Wahlberechtigte,Wahlbeteiligung,Differenz Wahlbeteiligung Vorwahl,Wahlbezirke ausgezählt,Wahlbezirke insgesamt,Zwischenergebnis Status
Landesergebnis,UFP,Erststimmen,Vorläufiges Ergebnis,4,-24.9,28.9,2.5,70069,92.5,5.2,14,14,8 von 14 Wahlbezirken ausgezählt
Landesergebnis,UFP,Zweitstimmen,Vorläufiges Ergebnis,19.5,-10.6,30.1,2.5,70069,92.5,5.2,14,14,8 von 14 Wahlbezirken ausgezählt
Landesergebnis,KE,Erststimmen,Vorläufiges Ergebnis,33.4,33.4,,2.5,70069,92.5,5.2,14,14,8 von 14 Wahlbezirken ausgezählt
Landesergebnis,KE,Zweitstimmen,Vorläufiges Ergebnis,3.4,-22.5,25.9,2.5,70069,92.5,5.2,14,14,8 von 14 Wahlbezirken ausgezählt
Landesergebnis,Vulkanier,Zweitstimmen,Vorläufiges Ergebnis,30.8,13.7,17.1,2.5,70069,92.5,5.2,14,14,8 von 14 Wahlbezirken ausgezählt
Landesergebnis,Vulkanier,Erststimmen,Vorläufiges Ergebnis,22.8,-2.3,25.1,2.5,70069,92.5,5.2,14,14,8 von 14 Wahlbezirken ausgezählt
Landesergebnis,AE,Zweitstimmen,Vorläufiges Ergebnis,19.6,9.3,10.3,2.5,70069,92.5,5.2,14,14,8 von 14 Wahlbezirken ausgezählt
Landesergebnis,AE,Erststimmen,Vorläufiges Ergebnis,3.8,-11.5,15.3,2.5,70069,92.5,5.2,14,14,8 von 14 Wahlbezirken ausgezählt
Landesergebnis,Tellariten,Erststimmen,Vorläufiges Ergebnis,6.4,-2,8.4,2.5,70069,92.5,5.2,14,14,8 von 14 Wahlbezirken ausgezählt
Landesergebnis,Tellariten,Zweitstimmen,Vorläufiges Ergebnis,4.5,0.1,4.4,2.5,70069,92.5,5.2,14,14,8 von 14 Wahlbezirken ausgezählt
Landesergebnis,Sonstige,Zweitstimmen,Vorläufiges Ergebnis,,,,2.5,70069,92.5,5.2,14,14,8 von 14 Wahlbezirken ausgezählt
Landesergebnis,Sonstige,Erststimmen,Vorläufiges Ergebnis,8.4,8.4,0,2.5,70069,92.5,5.2,14,14,8 von 14 Wahlbezirken ausgezählt
Wahlkreis 1,UFP,Erststimmen,Vorläufiges Ergebnis,31.4,2.5,28.9,1.4,36990,94.4,-1.5,26,26,15 von 26 Wahlbezirken ausgezählt
